id,latin,family,common,space,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit
0,Aeschynanthus lobianus,Gesneriaceae,Lipstick,low,Java,Tropical,medium,Direct sunlight,high,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
1,Adiantum raddianum,Polypodiaceae,"Maindenhair, Delta maidenhair",low,Brazil,Tropical,medium,Diffused,high,"['Mealy bug', 'Aphid', 'Snail']",Gray mold,"['Potted plant', 'Ground cover', 'Table top']",30,86.0,12,53.6
2,Aechmea fatsiata,Bromeliaceae,Silver vase,low,Brazil,Tropical humid,medium,Diffused,low,,,"['Flower', 'Table top', 'Tertiary']",30,20.0,12,53.6
3,Agave angustilolia Marginata,Amaryllidaceae,"Variegated Carabbean Agave, Century plant",low, India,Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,5,41.0
4,Aechmea ramosa,Bromeliaceae,Coral berry,low,Brazil,Subtropical,medium,Diffused,low,,,"['Flower', 'Table top', 'Primary']",30,20.0,12,53.6
6,Agave filifera,Amaryllidaceae,"Thread Agave, Century plant",low,Mexico,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,5,41.0
7,Adiantum hispidulum,Polypodiaceae,"Rosy Maidenhair, Autralian maidenhair",low,Australia & New Guinea,Tropical,medium,Diffused,high,"['Mealy bug', 'Aphid', 'Snail']",Gray mold,"['Table top', 'Ground cover', 'Tertiary']",30,20.0,12,53.6
8,Agave attenuata,Amaryllidaceae,"Dragon tree Agave, Century plant",low,Mexico,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,5,41.0
9,Aglaonema,Araceae,"Chinese Evergreen, Amelia",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
10,Aglaonema,Araceae,"Chinese Evergreen, Painted Princess",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
11,Aglaonema,Araceae,"Chinese Evergreen, Queen of Siam",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
12,Aglaonema,Araceae,"Chinese Evergreen, Jewel of India",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Table top', 'Ground cover', 'Tertiary']",28,82.4,18,64.4
13,Aglaonema,Araceae,"Chinese Evergreen, Patricia",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
14,Aglaonema,Araceae,"Chinese Evergreen, Green Lady",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
15,Aglaonema,Araceae,"Chinese Evergreen, Black Lance",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
16,Aglaonema,Araceae,"Chinese Evergreen, Silver Queen",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
17,Aglaonema,Araceae,"Chinese Evergreen, Rapsody in Green",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Primary', 'Secondary']",28,82.4,18,64.4
18,Aglaonema,Araceae,"Chinese Evergreen, Manila Pride",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
19,Agave verschaffeltii,Amaryllidaceae,"Blue Agave, Century plant",low,Mexico,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,12,53.6
20,Aglaonema,Araceae,"Chinese Evergreen, Emerald Beauty",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Table top', 'Ground cover', 'Tertiary']",28,82.4,18,64.4
21,Aglaonema,Araceae,"Chinese Evergreen, Jubilee",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
22,Agave striata,Amaryllidaceae,"Lilliput Agave, Century plant, Nana",low,Mexico,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,12,53.6
23,Aglaonema,Araceae,"Chinese Evergreen, Abidjan",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
24,Aglaonema,Araceae,"Chinese Evergreen, Maria Chirstina",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Ground cover', 'Tertiary']",28,82.4,18,64.4
25,Alocasia nebula Imperialis,Araceae,Elephant ear,low,Cultivar,Tropical humid,medium,Direct sunlight.,high,"['Spider mite', 'Mealy bug']","['Phytophtora', 'Crown rot']","['Colors / Forms', 'Table top', 'Tertiary']",28,82.4,15,59.0
26,Aglaonema,Araceae,"Chinese Evergreen, Emerald Isle",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
27,Aglaonema,Araceae,"Chinese Evergreen, Mary Ann",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
28,Allamanda nerifolia,Apocynaceae,Golden Trumpet,low,Brazil,Tropical,high,Direct sunlight.,high,"['Mealy bug', 'Scale', 'Spider mite']",,['Flower'],30,20.0,10,50.0
29,Aglaonema,Araceae,"Chinese Evergreen, BJ Freeman",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Primary', 'Secondary']",28,82.4,18,64.4
30,Aglaonema,Araceae,"Chinese Evergreen, Marguerita",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Primary', 'Secondary']",28,82.4,18,64.4
31,Aglaonema,Araceae,"Chinese Evergreen, Emerald Star",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Secondary']",28,82.4,18,64.4
32,Aglaonema,Araceae,"Chinese Evergreen, Silver Bay",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
33,Aspidistra elatior,Liliaceae,Cast iron plant,low,China,Subtropical,medium,Diffused,low,"['Spider mite', 'Mealy bug', 'Scale']",,"['Ground cover', 'Potted plant']",28,82.4,8,46.4
34,Anthurium superbum,Araceae,Bronze Anthurium,low,Ecuador,Tropical,medium,Diffused,low,"['Spider mite', 'Mealy bug']",,"['Table top', 'Colors / Forms', 'Secondary']",28,82.4,18,64.4
35,Caryota mitis,Palmae,Fish tail palm,low, India,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']",,"['Potted plant', 'Primary']",25,77.0,10,50.0
36,Codiaeum petra,Euphorbiaceae,Croton,low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug']",,"['Potted plant', 'Secondary']",28,82.4,10,50.0
37,Cereus peruvianus,Cactaceae,Tree Cereus,low,Brazil,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary']",35,95.0,5,41.0
38,Blechnum gibbum,Polypodiaceae,"Miniature tree fern, Dwarf tree fern",low,New Calidonia,Tropical humid,medium,Diffused,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
39,Chamaedorea elegans,Arecaceae,"Bella palm, Neanthebella palm, Dwarf palm, Parlor palm",low,Mexico,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Potted plant', 'Tertiary']",28,82.4,5,41.0
40,Calathea veitchiana,Marantaceae,Medallion Calathea,low,Hybrid,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Table top', 'Ground cover']",25,77.0,10,50.0
41,Calathea pictura Argentea,Marantaceae,Silver Calathea,low,Cultivar,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Table top', 'Ground cover', 'Tertiary']",25,77.0,10,50.0
42,Bougainvillea,Nyctaginaceae,"Bougainvillia, Paper flower",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Aphid', 'Mealy bug']",,"['Potted plant', 'Colors / Forms', 'Primary']",32,89.6,10,50.0
43, Chamaedorea seifrizii,Arecaceae,"Bamboo palm, Reed Palm",low,Mexico,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
45,Anthurium X,Araceae,"Tailflower, Wax flower",low,Cultivar,Tropical,medium,Diffused,low,"['Spider mite', 'Mealy bug', 'Aphid']","['Erwinia', 'Crown rot']","['Flower', 'Table top', 'Tertiary']",22,71.6,18,64.4
46,Anthurium hookeri,Araceae,"Bird nest Anthurium, Cabbage Anthurium",low,Guyana,Tropical humid,medium,Diffused,low,"['Mealy bug', 'Snail', 'Aphid']","['Erwinia', 'Crown rot']","['Potted plant', 'Secondary']",28,82.4,18,64.4
47,Cissus rhombifolia,Vitaceae,"Grape Ivy, Ellen Danica",low,Cultivar,Subtropical,medium,Diffused,high,Mealy bug,"['Downy mildiou', 'Powdery']","['Hanging', 'Ground cover']",28,82.4,10,50.0
48,Cereus peruvianus Monstrosus,Cactaceae,Monster cactus,low,Brazil,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary']",35,95.0,5,41.0
49,Chamaedorea erumpens,Arecaceae,Bamboo palm,low,Honduras,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']",,"['Potted plant', 'Secondary']",28,82.4,10,50.0
50,Calathea stromata,Marantaceae,Stromante,low,Brazil,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Table top', 'Ground cover']",25,77.0,10,50.0
52,Calathea rufibarba,Marantaceae,Velvet Calathea,low,Brazil,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Table top', 'Ground cover']",25,77.0,10,50.0
54,Crassula argentea,Crasssulaceae,Jade Plant,low,South Africa,Subtropical arid,high,Direct sunlight.,low,Mealy bug,,"['Potted plant', 'Primary']",35,95.0,12,55.0
56,Cissus rhombifolia,Vitaceae,Grape Ivy,low,Central America & South America,Tropical,medium,Diffused,high,Mealy bug,"['Downy mildiou', 'Powdery']","['Hanging', 'Ground cover']",28,82.4,10,50.0
58,Chamaedorea metallica,Arecaceae,"Miniature fishtail, Steel palm",low,Mexico,Tropical,medium,Diffused,high,Mealy bug,,"['Potted plant', 'Secondary']",30,20.0,10,50.0
59,Aspidistra elatior Minor,Liliaceae,"Cast iron plant, Aspidistra Milky Way",low,Japan,Subtropical,medium,Diffused,low,"['Spider mite', 'Mealy bug', 'Scale']",,"['Ground cover', 'Potted plant']",28,82.4,8,46.4
60,Calathea ornata Rosea lineata,Marantaceae,Stiped calathea,low,Cultivar,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Table top', 'Ground cover', 'Tertiary']",25,77.0,10,50.0
61,Asplenium nidus,Aspleniaceae,Birdnest fern,low,Asia,Tropical humid,medium,Diffused,high,Mealy bug,,"['Potted plant', 'Primary']",28,82.4,15,59.0
63,Chlorophytum comosum,Liliaceae,Spider plant,low,Central Africa,Tropical to subtropical,medium,Diffused,high,,,"['Hanging', 'Ground cover']",28,82.4,5,41.0
64,Didymochlaena truncatula,Dryopteridaceae,Tree Maindenhair fern,low,South America,Tropical humid,high,Diffused,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Tertiary']",30,20.0,5,41.0
65,Dieffenbachia,Araceae,"Dumcane, Tropic Mary Ann",low,Hybrid,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']","['Fusarium', 'Erwinia']","['Table top', 'Potted plant']",28,82.4,12,53.6
66,Dieffenbachia,Araceae,"Dumcane, Star Bright",low,Hybrid,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']","['Fusarium', 'Erwinia']","['Potted plant', 'Secondary']",28,82.4,12,53.6
67,Dracaena marginata,Liliaceae,"Madagascar dragon tree, Tricolor",low,Cultivar,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale', 'Spider mite']",,"['Potted plant', 'Secondary']",28,82.4,10,50.0
68,Dracaena fragrans Massangeana,Liliaceae,Cornstalk plant,low,Cultivar,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Primary']",30,20.0,10,50.0
69,Dracaena deremensis,Liliaceae,Janet Craig,low,Cultivar,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
70,Cryptanthus Rose Eliane,Bromeliaceae,,low,Cultivar,Tropical,medium,Direct sunlight,low,,,"['Table top', 'Primary']",28,82.4,10,50.0
71,Dracaena reflexa,Liliaceae,"Yellow Malaysian Dracaena, Song of India",low, India,Tropical,high,Direct sunlight.,high,Mealy bug,,"['Potted plant', 'Primary']",30,20.0,12,53.6
72,Dieffenbachia maculata,Araceae,"Dumcane, Carina",low,Hybrid,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']","['Fusarium', 'Erwinia']","['Table top', 'Potted plant']",28,82.4,12,53.6
73,Dracaena reflexa,Liliaceae,"Malaysian Dracaena, Song of Jamaica",low,Cultivar,Tropical,medium,Diffused,high,Mealy bug,,"['Potted plant', 'Secondary']",30,20.0,12,53.6
74,Cycas revoluta,Cycadaceae,"Sago palm, King sago",low,Japan,Subtropical,high,/,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary']",30,20.0,8,46.4
76,Ctenanthe lubbersiana,Marantaceae,Phrynium,low,Brazil,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']",,"['Potted plant', 'Secondary']",25,77.0,12,53.6
77,Dracaena reflexa,Liliaceae,Malaysian Dracaena,low,Madagascar,Tropical,medium,Diffused,high,Mealy bug,,"['Table top', 'Tertiary']",30,20.0,12,53.6
78,Dracaena deremensis,Liliaceae,"Striped Dracaena, Gold Star",low,Cultivar,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
79,Cyrtomium falcatum,Dryopteridaceae,Holly-fern,low,Asia,Subtropical,medium,Diffused,high,"['Scale', 'Mealy bug']",,"['Potted plant', 'Ground cover']",30,20.0,5,41.0
80,Dracaena deremensis,Liliaceae,"Dwarf bouquet, Calypso Queen, Janet Craig Compacta",low,Africa,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
81,Davallia trichomannoides,Davalliaceae,"Rabbits foot, Squirrels foot",low,Canaries,Tropical,medium,Diffused,low,"['Mealy bug', 'Scale']",,"['Hanging', 'Potted plant']",25,77.0,10,50.0
82,Dracaena deremensis,Liliaceae,"Lisa Dracaena, Lisa",low,Cultivar,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Primary']",30,20.0,10,50.0
83,Dracaena marginata,Liliaceae,Madagascar dragon tree,low,Madagascar,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale', 'Spider mite']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
84,Dracaena deremensis,Liliaceae,"Striped Dracaena, Warneckei",low,Africa,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
85,Dracaena deremensis,Liliaceae,"Striped Dracaena, Lemon Lime",low,Cultivar,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']",,"['Table top', 'Tertiary']",30,20.0,10,50.0
86,Dieffenbachia maculata,Araceae,"Dumcane, Camille",low,Hybrid,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']","['Fusarium', 'Erwinia']","['Table top', 'Potted plant']",28,82.4,12,53.6
87,Dieffenbachia amoena,Araceae,"Dumcane, Tropic Snow",low,Cultivar,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']","['Fusarium', 'Erwinia']","['Potted plant', 'Secondary']",28,82.4,12,53.6
88,Ficus elastica,Moraceae,"Rubber plant, Tineke",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Mealy bug', 'Scale']",,"['Table top', 'Tertiary']",30,20.0,10,50.0
89,Dypsis lutescens,Arecaceae,"Areca palm, Butterfly palm",low,Madagascar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",28,82.4,10,50.0
90,Epiphyllum,Cactaceae,Orchid cactus,low,Hybrid,Tropical,medium,Direct sunlight,high,Mealy bug,,"['Hanging', 'Secondary']",32,89.6,5,41.0
91,Echinocactus grusonii,Cactaceae,Golden Barrel,low,Central Mexico,Arid Tropical,high,/,low,"['Mealy bug', 'Scale', 'Spider mite']",,"['Potted plant', 'Primary']",40,104.0,5,41.0
92,Euphorbia milii,Euphorbiaceae,"Christ thorn, Crown of thorns",low,Madagascar,Arid Tropical,high,Direct sunlight.,low,"['Mealy bug', 'White fly']","['Downy mildiou', 'Gray mold']","['Table top', 'Tertiary']",35,95.0,12,53.6
93,Epipremnum aureum,Araceae,"White Pothos, Marble Queen",low,Cultivar,Tropical,medium,Diffused,high,Mealy bug,['Pythium'],"['Hanging', 'Tertiary']",30,20.0,12,53.6
94,Guzmania,Bromeliaceae,"Guzmania, Guzmania Sunnytime",low,Cultivar,Tropical,medium,Diffused,low,,,"['Table top', 'Tertiary']",30,20.0,10,50.0
95,Ficus maclellandii,Moraceae,"Willow fig tree, Amstel King",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Potted plant', 'Primary']",30,20.0,10,50.0
96,Guzmania,Bromeliaceae,"Guzmania, Guzmania Empire",low,Cultivar,Tropical,medium,Diffused,low,,,"['Table top', 'Tertiary']",30,20.0,10,50.0
97,Ficus benjamina,Moraceae,Weeping fig,low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
98,Fatsia japonica,Araliaceae,Japanese Aralia,low,Japan,Subtropical,medium,Direct sunlight,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Table top', 'Potted plant']",28,82.4,8,46.4
99,Euphorbia ammack,Euphorbiaceae,Variegated Euphorbia,low,Africa,Arid Tropical,high,Direct sunlight.,low,"['Mealy bug', 'White fly']",Downy mildiou,"['Potted plant', 'Primary']",35,95.0,12,53.6
100,Ficus pumila,Moraceae,"Creeping fig, Curl",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Hanging', 'Ground cover']",30,20.0,10,50.0
101,Guzmania,Bromeliaceae,"Guzmania, Claret",low,Cultivar,Tropical,medium,Diffused,low,,,"['Table top', 'Tertiary']",30,20.0,10,50.0
102,Ficus elastica,Moraceae,"Rubber plant, Robusta",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
103,Hedera canariensis,Araliaceae,"Algerian ivy, Montgomery ivy",low,Canaries,Subtropical,medium,Diffused,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Hanging', 'Ground cover']",30,20.0,5,41.0
104,Epipremnum aureum,Araceae,Golden Pothos,low,South Pacific,Tropical,medium,Diffused,high,Mealy bug,['Pythium'],"['Hanging', 'Tertiary']",30,20.0,12,53.6
105,Ficus lyrata,Moraceae,Fidleleaf fig,low,Ouest Africa,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
106,Euphorbia ingens,Euphorbiaceae,Giant Candelabra tree,low,South Africa,Arid Tropical,high,Direct sunlight.,low,Mealy bug,Downy mildiou,"['Potted plant', 'Primary']",35,95.0,12,53.6
107,Ficus benjamina,Moraceae,"Weeping fig, Monique",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
108,Guzmania,Bromeliaceae,"Guzmania, Mariposa",low,Cultivar,Tropical,medium,Diffused,low,,,"['Table top', 'Tertiary']",30,20.0,10,50.0
109,Ficus maclellandii Alii,Moraceae,Willow Ficus,low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Potted plant', 'Primary']",30,20.0,10,50.0
110,Guzmania,Bromeliaceae,"Guzmania, Marjan",low,Cultivar,Tropical,medium,Diffused,low,,,"['Table top', 'Tertiary']",30,20.0,10,50.0
111,Ficus benjamina,Moraceae,"Weeping fig, Midnight",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
112,Guzmania,Bromeliaceae,"Guzmania, Rana",low,Cultivar,Tropical,medium,Diffused,low,,,"['Table top', 'Tertiary']",30,20.0,10,50.0
113,Ficus elastica,Moraceae,"Rubber plant, Burgandy",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,10,50.0
115,Hedera helix,Araliaceae,"English ivy, Gold Baby",low,Cultivar,Subtropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']",,"['Hanging', 'Ground cover']",30,20.0,5,41.0
116,Maranta leuconeura erythroneura,Marantaceae,"Herringbone, Pink praying plant",low,Brazil,Tropical,medium,Diffused,high,Mealy bug,,"['Hanging', 'Table top']",28,82.4,12,53.6
117,Hedera helix,Araliaceae,"English ivy, Hermania",low,Cultivar,Subtropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']",,"['Hanging', 'Ground cover']",30,20.0,5,41.0
118,Monstera deliciosa,Araceae,"Splitleaf Philodendron, Mexican Breadfruit",low,Central America,Tropical,medium,Diffused,low,Mealy bug,,"['Potted plant', 'Secondary']",32,89.6,12,53.6
120,Peperomia obtusifolia,Piperaceae,"Baby rubber plant, Pepper face",low,Venezuela,Tropical,medium,/,high,Mealy bug,,"['Table top', 'Ground cover', 'Tertiary']",32,89.6,10,50.0
121,Ophiopogon japonicus,Liliaceae,Snakes beard,low,Japan,Subtropical,medium,Direct sunlight,high,"['Spider mite', 'Scale']",,"['Ground cover', 'Tertiary']",28,82.4,5,41.0
122,Hedychium coronarium,Zingiberaceae,"Butterfly Ginger, White Ginger",low,China,Subtropical,high,Direct sunlight.,high,,,"['Flower', 'Secondary']",30,20.0,10,50.0
123,Hedera helix variegata,Araliaceae,"English ivy, Variegated English ivy",low,Cultivar,Subtropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']",,"['Hanging', 'Ground cover']",30,20.0,5,41.0
125,Hedera helix,Araliaceae,"English ivy, Garland",low,Cultivar,Subtropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']",,"['Hanging', 'Ground cover']",30,20.0,5,41.0
126,Hoya carnosa Exotica,Asclepiadaceae,Wax plant,low,Cultivar,Tropical,medium,Diffused,low,"['Mealy bug', 'Thrips']",,"['Hanging', 'Table top']",28,82.4,12,53.6
127,Nerium oleander,Apocynaceae,"Oleander, Rose bay",low,Mediterranean,Subtropical,high,/,high,"['Scale', 'Aphid', 'Mealy bug']",,"['Potted plant', 'Secondary']",30,20.0,5,41.0
128,Pachypodium geayi,Apocynaceae,Madagascar Palm,low,Madagascar,Arid Tropical,high,Direct sunlight.,low,Mealy bug,,"['Potted plant', 'Primary']",35,95.0,8,46.4
129,Licuala spinosa,Arecaceae,Spiny licuala palm,low,Malaysia,Tropical,medium,Direct sunlight,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",30,20.0,15,59.0
130,Philodendron,Araceae,"Red Philodendron, Imperial Red",low,Cultivar,Tropical,medium,Diffused,high,Mealy bug,Erwinia,"['Table top', 'Secondary']",28,82.4,18,64.4
132,Liriope muscari Variegata,Liliaceae,Variegated lily turf,low,Japan,Subtropical,medium,Direct sunlight,high,"['Spider mite', 'Scale']",,"['Ground cover', 'Table top']",30,20.0,8,46.4
133,Philodendron micans,Araceae,Velvet leaf vine,low,Dominica,Tropical,medium,Diffused,high,Mealy bug,Erwinia,"['Hanging', 'Secondary']",28,82.4,18,64.4
134,Maranta leuconeura kerchoveana,Marantaceae,"Green prayer plant, Herringbone",low,Brazil,Tropical,medium,Diffused,high,Mealy bug,,"['Hanging', 'Table top']",28,82.4,12,53.6
136,Nolina recurvata,Agavaceae,"Elephant foot, Pony tail",low,Mexico,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Primary', 'Potted plant']",32,89.6,12,53.6
137,Philodendron,Araceae,"Lime philodendron, Moonlight",low,Cultivar,Tropical,medium,Diffused,high,Mealy bug,Erwinia,"['Table top', 'Secondary']",28,82.4,18,64.4
139,Hyophorbe verschaffeltii,Arecaceae,Spindle palm,low,Rodrigue Island,Tropical,high,Direct sunlight.,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Primary']",35,95.0,10,50.0
140,Hedera helix,Araliaceae,English ivy,low,Cultivar,Subtropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']",,"['Hanging', 'Ground cover']",30,20.0,5,41.0
142,Medinilla magnifica,Melastomataceae,Rose grape,low,Philippines,Tropical,high,Direct sunlight.,high,Mealy bug,,"['Potted plant', 'Flower']",30,20.0,15,59.0
143,Hibiscus rosa sinensis,Malvaceae,Chinese hibiscus,low,Asia,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Aphid', 'White fly']",,"['Flower', 'Secondary']",28,82.4,10,50.0
144,Nephrolepis exaltata var,Nephrolepidaceae,"Boston fern, Sword fern",low,Cultivar,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']",,"['Hanging', 'Tertiary']",28,82.4,10,50.0
145,Howea forsteriana,Arecaceae,"Kentia palm, Paradise palm",low,South Pacific,Tropical,medium,Diffused,high,,,"['Potted plant', 'Primary']",28,82.4,12,53.6
146,Philodendron,Araceae,Emerald Prince,low,Cultivar,Tropical,medium,Diffused,high,Mealy bug,Erwinia,"['Table top', 'Secondary']",28,82.4,18,64.4
